model,chunk,input_position,token_id,token_class,residual_linf,selected_layer,has_scored_next_token
qwen3_4b_base,17,1,3184,massive,1328.0,21,True
qwen3_4b_base,17,941,5135,massive,6240.0,21,True
qwen3_4b_base,18,0,151643,BOS,2304.0,21,True
qwen3_4b_base,18,1,5021,massive,7360.0,21,True
qwen3_4b_base,18,587,17,massive,7296.0,21,True
qwen3_4b_base,19,0,151643,BOS,2304.0,21,True
qwen3_4b_base,19,1,389,massive,7616.0,21,True
qwen3_4b_base,19,295,17,massive,6240.0,21,True
qwen3_4b_base,19,1693,16,massive,42.25,21,True
qwen3_4b_base,20,0,151643,BOS,2304.0,21,True
qwen3_4b_base,20,360,42954,massive,40.5,21,True
qwen3_4b_base,20,1389,17445,massive,40.5,21,True
qwen3_4b_base,20,1672,608,massive,7360.0,21,True
qwen3_4b_base,21,0,151643,BOS,2304.0,21,True
qwen3_4b_base,21,1,387,massive,6400.0,21,True
qwen3_4b_base,21,9,7664,massive,40.5,21,True
qwen3_4b_base,21,512,1632,massive,6272.0,21,True
qwen3_4b_base,22,0,151643,BOS,2304.0,21,True
qwen3_4b_base,22,1,7172,massive,6304.0,21,True
qwen3_4b_base,22,580,220,massive,6656.0,21,True
qwen3_4b_base,23,0,151643,BOS,2304.0,21,True
qwen3_4b_base,23,801,7072,massive,40.75,21,True
qwen3_4b_base,23,1029,16,massive,42.5,21,True
qwen3_4b_base,23,1318,16,massive,7872.0,21,True
qwen3_4b_base,24,0,151643,BOS,2304.0,21,True
qwen3_4b_base,24,1,26160,massive,7040.0,21,True
qwen3_4b_base,24,3,16740,massive,41.75,21,True
qwen3_4b_base,24,248,16,massive,6112.0,21,True
qwen3_4b_base,25,0,151643,BOS,2304.0,21,True
qwen3_4b_base,25,1,284,massive,5504.0,21,True
qwen3_4b_base,25,111,5135,massive,7168.0,21,True
qwen3_4b_base,26,0,151643,BOS,2304.0,21,True
qwen3_4b_base,26,1,12,massive,3904.0,21,True
qwen3_4b_base,26,758,16,massive,7840.0,21,True
qwen3_4b_base,27,0,151643,BOS,2304.0,21,True
qwen3_4b_base,27,18,38785,massive,41.25,21,True
qwen3_4b_base,27,548,674,massive,7072.0,21,True
qwen3_4b_base,28,0,151643,BOS,2304.0,21,True
qwen3_4b_base,28,1,323,massive,63.75,21,True
qwen3_4b_base,28,1238,3360,massive,7360.0,21,True
qwen3_4b_base,29,0,151643,BOS,2304.0,21,True
qwen3_4b_base,29,1,3511,massive,6528.0,21,True
qwen3_4b_base,29,7,5380,massive,41.0,21,True
qwen3_4b_base,29,469,36391,massive,5504.0,21,True
qwen3_4b_base,30,0,151643,BOS,2304.0,21,True
qwen3_4b_base,30,406,220,massive,7200.0,21,True
qwen3_4b_base,31,0,151643,BOS,2304.0,21,True
qwen3_4b_base,31,65,1741,massive,4160.0,21,True
qwen3_4b_base,31,474,220,massive,920.0,21,True
qwen3_4b_base,32,0,151643,BOS,2304.0,21,True
qwen3_4b_base,32,224,220,massive,4960.0,21,True
qwen3_4b_base,32,289,220,massive,1464.0,21,True
qwen3_4b_base,33,0,151643,BOS,2304.0,21,True
qwen3_4b_base,33,408,36391,massive,7296.0,21,True
qwen3_4b_base,34,0,151643,BOS,2304.0,21,True
qwen3_4b_base,34,717,559,massive,6720.0,21,True
qwen3_4b_base,34,1748,16,massive,41.5,21,True
qwen3_4b_base,34,1774,20612,massive,42.0,21,True
qwen3_4b_base,35,0,151643,BOS,2304.0,21,True
qwen3_4b_base,35,149,16,massive,40.5,21,True
qwen3_4b_base,35,837,220,massive,6528.0,21,True
qwen3_4b_base,35,1488,279,massive,41.5,21,True
qwen3_4b_base,35,1505,279,massive,42.25,21,True
qwen3_4b_base,35,1904,36115,massive,2816.0,21,True
qwen3_4b_base,36,0,151643,BOS,2304.0,21,True
qwen3_4b_base,36,1,6329,massive,2496.0,21,True
qwen3_4b_base,36,599,220,massive,7424.0,21,True
qwen3_4b_base,37,0,151643,BOS,2304.0,21,True
qwen3_4b_base,37,1,369,massive,6400.0,21,True
qwen3_4b_base,37,302,17,massive,6848.0,21,True
qwen3_4b_base,38,0,151643,BOS,2304.0,21,True
qwen3_4b_base,38,1,1841,massive,6592.0,21,True
qwen3_4b_base,38,432,220,massive,7136.0,21,True
qwen3_4b_base,39,0,151643,BOS,2304.0,21,True
qwen3_4b_base,39,1,315,massive,6784.0,21,True
qwen3_4b_base,39,587,17,massive,7872.0,21,True
qwen3_4b_base,40,0,151643,BOS,2304.0,21,True
qwen3_4b_base,40,294,54990,massive,7296.0,21,True
qwen3_4b_base,41,0,151643,BOS,2304.0,21,True
qwen3_4b_base,41,122,17,massive,6432.0,21,True
qwen3_4b_base,42,0,151643,BOS,2304.0,21,True
qwen3_4b_base,42,118,16,massive,40.75,21,True
qwen3_4b_base,42,347,220,massive,6144.0,21,True
qwen3_4b_base,43,0,151643,BOS,2304.0,21,True
qwen3_4b_base,43,968,16,massive,5760.0,21,True
qwen3_4b_base,44,0,151643,BOS,2304.0,21,True
qwen3_4b_base,44,1,389,massive,7616.0,21,True
qwen3_4b_base,44,469,3171,massive,6976.0,21,True
qwen3_4b_base,45,0,151643,BOS,2304.0,21,True
qwen3_4b_base,45,5,1862,massive,40.75,21,True
qwen3_4b_base,45,928,16,massive,7328.0,21,True
qwen3_4b_base,46,0,151643,BOS,2304.0,21,True
qwen3_4b_base,46,1,358,massive,4448.0,21,True
qwen3_4b_base,46,550,16,massive,7680.0,21,True
qwen3_4b_base,46,1078,2142,massive,40.5,21,True
qwen3_4b_base,46,1308,79144,massive,40.75,21,True
qwen3_4b_base,47,0,151643,BOS,2304.0,21,True
qwen3_4b_base,47,1,3216,massive,6464.0,21,True
qwen3_4b_base,47,753,329,massive,7552.0,21,True
qwen3_4b_base,48,0,151643,BOS,2304.0,21,True
qwen3_4b_base,48,1,501,massive,6144.0,21,True
qwen3_4b_base,48,305,329,massive,4096.0,21,True
qwen3_4b_base,49,0,151643,BOS,2304.0,21,True
qwen3_4b_base,49,773,17,massive,6496.0,21,True
qwen3_4b_base,49,1761,220,massive,1664.0,21,True
qwen3_4b_base,50,0,151643,BOS,2304.0,21,True
qwen3_4b_base,50,1,1532,massive,5888.0,21,True
qwen3_4b_base,50,407,220,massive,5216.0,21,True
qwen3_4b_base,51,0,151643,BOS,2304.0,21,True
qwen3_4b_base,51,503,17,massive,6944.0,21,True
qwen3_4b_base,52,0,151643,BOS,2304.0,21,True
qwen3_4b_base,52,292,15,massive,4736.0,21,True
qwen3_4b_base,53,0,151643,BOS,2304.0,21,True
qwen3_4b_base,53,1015,15,massive,7840.0,21,True
qwen3_4b_base,54,0,151643,BOS,2304.0,21,True
qwen3_4b_base,54,1,12,massive,3904.0,21,True
qwen3_4b_base,54,1046,39,massive,7328.0,21,True
qwen3_4b_base,55,0,151643,BOS,2304.0,21,True
qwen3_4b_base,55,1,714,massive,6656.0,21,True
qwen3_4b_base,55,11,15029,massive,43.0,21,True
qwen3_4b_base,55,945,585,massive,6720.0,21,True
qwen3_4b_base,56,0,151643,BOS,2304.0,21,True
qwen3_4b_base,56,1112,608,massive,6016.0,21,True
qwen3_4b_base,56,1481,220,massive,2144.0,21,True
qwen3_4b_base,57,0,151643,BOS,2304.0,21,True
qwen3_4b_base,57,1,74672,massive,5760.0,21,True
qwen3_4b_base,57,1176,4270,massive,7648.0,21,True
qwen3_4b_base,58,0,151643,BOS,2304.0,21,True
qwen3_4b_base,58,452,1632,massive,5408.0,21,True
qwen3_4b_base,59,0,151643,BOS,2304.0,21,True
qwen3_4b_base,59,1,57236,massive,4256.0,21,True
qwen3_4b_base,59,591,7199,massive,1248.0,21,True
qwen3_4b_base,59,1281,8703,massive,41.0,21,True
qwen3_4b_base,59,1616,220,massive,6304.0,21,True
qwen3_4b_base,60,0,151643,BOS,2304.0,21,True
qwen3_4b_base,60,255,2302,massive,42.25,21,True
qwen3_4b_base,60,1139,16,massive,6912.0,21,True
qwen3_4b_base,61,0,151643,BOS,2304.0,21,True
qwen3_4b_base,61,1,315,massive,6784.0,21,True
qwen3_4b_base,61,513,15,massive,6752.0,21,True
qwen3_4b_base,62,0,151643,BOS,2304.0,21,True
qwen3_4b_base,62,1,4124,massive,7008.0,21,True
qwen3_4b_base,62,561,5197,massive,7136.0,21,True
qwen3_4b_base,63,0,151643,BOS,2304.0,21,True
qwen3_4b_base,63,1358,16,massive,6976.0,21,True
